trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
246,True,"{'a': 0.0, 'e': 0.0}",25,19,9.98781499712669,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
247,True,"{'a': 0.0, 'e': 0.0}",20,6,28.260701343348476,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
248,True,"{'a': 0.0, 'e': 0.0}",30,0,49.41917878259545,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
249,True,"{'a': 0.0, 'e': 0.0}",20,14,11.5313357026154,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
250,True,"{'a': 0.0, 'e': 0.0}",35,21,26.906533595138743,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
251,True,"{'a': 0.0, 'e': 0.0}",25,6,29.527009573346295,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
252,True,"{'a': 0.0, 'e': 0.0}",25,18,11.829804089991121,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
253,True,"{'a': 0.0, 'e': 0.0}",30,7,43.90111929639825,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
254,True,"{'a': 0.0, 'e': 0.0}",20,9,17.92627478576289,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
255,True,"{'a': 0.0, 'e': 0.0}",30,8,40.58671625291582,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
256,True,"{'a': 0.0, 'e': 0.0}",25,10,28.079927188775223,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
257,True,"{'a': 0.0, 'e': 0.0}",25,0,41.71294874319505,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
258,True,"{'a': 0.0, 'e': 0.0}",20,3,31.322422247593167,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,True,"{'a': 0.0, 'e': 0.0}",20,6,24.420234615823972,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
260,True,"{'a': 0.0, 'e': 0.0}",25,9,28.65981427299474,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
261,True,"{'a': 0.0, 'e': 0.0}",25,0,41.36399619114869,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
262,True,"{'a': 0.0, 'e': 0.0}",20,8,25.145838484919665,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
263,True,"{'a': 0.0, 'e': 0.0}",20,2,30.99173843222834,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
264,True,"{'a': 0.0, 'e': 0.0}",30,14,27.01100513457382,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
265,True,"{'a': 0.0, 'e': 0.0}",35,20,27.495039950889012,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
266,True,"{'a': 0.0, 'e': 0.0}",20,0,35.277965816556716,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
267,True,"{'a': 0.0, 'e': 0.0}",30,0,53.48922712973397,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
268,True,"{'a': 0.0, 'e': 0.0}",20,0,33.41040002274041,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
269,True,"{'a': 0.0, 'e': 0.0}",20,8,19.271209425192055,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
